tissue,stage,replicate,sample_id
ForeBrain,10.5,1,ENCFF288JMC
ForeBrain,10.5,2,ENCFF461PTM
ForeBrain,11.5,1,ENCFF890XTY
ForeBrain,11.5,2,ENCFF232QBX
ForeBrain,12.5,1,ENCFF535JWX
ForeBrain,12.5,2,ENCFF667LWJ
ForeBrain,13.5,1,ENCFF673PJA
ForeBrain,13.5,2,ENCFF320IBB
ForeBrain,14.5,1,ENCFF667IZN
ForeBrain,14.5,2,ENCFF948AII
ForeBrain,15.5,1,ENCFF331SNN
ForeBrain,15.5,2,ENCFF566THP
ForeBrain,16.5,1,ENCFF457SPJ
ForeBrain,16.5,2,ENCFF480MYA
ForeBrain,0,1,ENCFF486VKI
ForeBrain,0,2,ENCFF784IJC
MidBrain,10.5,1,ENCFF192LFV
MidBrain,10.5,2,ENCFF724ZCI
MidBrain,11.5,1,ENCFF943IBD
MidBrain,11.5,2,ENCFF580ZKC
MidBrain,12.5,1,ENCFF910CHR
MidBrain,12.5,2,ENCFF147HUB
MidBrain,13.5,1,ENCFF376OQK
MidBrain,13.5,2,ENCFF323DLV
MidBrain,14.5,1,ENCFF496WRJ
MidBrain,14.5,2,ENCFF499EUN
MidBrain,15.5,1,ENCFF354OEF
MidBrain,15.5,2,ENCFF678MHU
MidBrain,16.5,1,ENCFF451ZEE
MidBrain,16.5,2,ENCFF529OUU
MidBrain,0,1,ENCFF415LLK
MidBrain,0,2,ENCFF733TCH
